[13:29:31] 🎯 СИГНАЛ OP/USDT:USDT SELL
[13:29:32] 📦 Стрим OP/USDT:USDT (Limit): sell 1291
[13:29:54] 🎯 СИГНАЛ APT/USDT:USDT SELL
[13:29:55] 📦 Стрим APT/USDT:USDT (Limit): sell 162
[13:29:59] 🎯 СИГНАЛ ORDI/USDT:USDT SELL
[13:29:59] 📦 Стрим ORDI/USDT:USDT (Limit): sell 36
[13:30:02] 🎯 Выставляю Тейк №1: 14 по 4.289
[13:30:02] 📦 Стрим ORDI/USDT:USDT (Limit): buy 14
[13:33:23] 📡 APT/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:24] 📡 ORDI/USDT:USDT | Prof: -0.23% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:27] 📡 APT/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 2m | Vol: 162
[13:33:27] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:30] 📡 APT/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:31] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:34] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:34] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:37] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:38] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:41] 📡 APT/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:41] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:45] 📡 APT/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:45] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:48] 📡 APT/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:49] 📡 ORDI/USDT:USDT | Prof: -0.09% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:51] 📡 APT/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:52] 📡 ORDI/USDT:USDT | Prof: -0.09% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:55] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:56] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:33:59] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:33:59] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 3m | Vol: 36
[13:34:02] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:03] 📡 ORDI/USDT:USDT | Prof: -0.21% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:06] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:06] 📡 ORDI/USDT:USDT | Prof: -0.21% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:09] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:10] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:13] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:13] 📡 ORDI/USDT:USDT | Prof: -0.12% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:16] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:17] 📡 ORDI/USDT:USDT | Prof: -0.21% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:20] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:20] 📡 ORDI/USDT:USDT | Prof: -0.21% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:23] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:24] 📡 ORDI/USDT:USDT | Prof: -0.28% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:27] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 3m | Vol: 162
[13:34:28] 📡 ORDI/USDT:USDT | Prof: -0.28% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:31] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:31] 📡 ORDI/USDT:USDT | Prof: -0.28% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:34] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:35] 📡 ORDI/USDT:USDT | Prof: -0.42% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:38] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:38] 📡 ORDI/USDT:USDT | Prof: -0.42% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:41] 📡 APT/USDT:USDT | Prof: -0.01% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:42] 📡 ORDI/USDT:USDT | Prof: -0.46% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:45] 📡 APT/USDT:USDT | Prof: -0.01% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:46] 📡 ORDI/USDT:USDT | Prof: -0.53% | BE: -1.2% | Time: 4m | Vol: 36
[13:34:46] 🚨 ✂️ QUICK-CUT (ORDI/USDT:USDT) ВЫХОД: ORDI/USDT:USDT | Profit: -0.53%
[13:34:46] 📦 Стрим ORDI/USDT:USDT (Market): buy 36
[13:34:55] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 4m | Vol: 162
[13:34:58] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:01] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:04] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:07] 📡 APT/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:10] 📡 APT/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:13] 📡 APT/USDT:USDT | Prof: 0.03% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:17] 📡 APT/USDT:USDT | Prof: 0.03% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:20] 📡 APT/USDT:USDT | Prof: 0.03% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:23] 📡 APT/USDT:USDT | Prof: 0.03% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:26] 📡 APT/USDT:USDT | Prof: 0.03% | BE: -1.2% | Time: 4m | Vol: 162
[13:35:29] 🎯 Выставляю Тейк №1: 514 по 0.1203
[13:35:29] 📦 Стрим OP/USDT:USDT (Limit): buy 514
[13:35:30] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:31] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:34] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:34] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:37] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:38] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:41] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:41] 📡 APT/USDT:USDT | Prof: 0.04% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:44] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:45] 📡 APT/USDT:USDT | Prof: 0.04% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:48] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:48] 📡 APT/USDT:USDT | Prof: 0.04% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:51] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:52] 📡 APT/USDT:USDT | Prof: 0.04% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:55] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:55] 📡 APT/USDT:USDT | Prof: -0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:35:58] 📡 OP/USDT:USDT | Prof: -0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:35:59] 📡 APT/USDT:USDT | Prof: -0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:02] 📡 OP/USDT:USDT | Prof: -0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:02] 📡 APT/USDT:USDT | Prof: -0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:05] 📡 OP/USDT:USDT | Prof: -0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:06] 📡 APT/USDT:USDT | Prof: -0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:09] 📡 OP/USDT:USDT | Prof: -0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:09] 📡 APT/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:12] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:13] 📡 APT/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:16] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:17] 📡 APT/USDT:USDT | Prof: 0.02% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:20] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:20] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:23] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:24] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:27] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 1291
[13:36:27] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 5m | Vol: 162
[13:36:30] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:31] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:34] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:34] 📡 APT/USDT:USDT | Prof: 0.01% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:37] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:38] 📡 APT/USDT:USDT | Prof: 0.01% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:41] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:41] 📡 APT/USDT:USDT | Prof: 0.01% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:45] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:45] 📡 APT/USDT:USDT | Prof: 0.01% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:48] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:49] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:52] 📡 OP/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:52] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 6m | Vol: 162
[13:36:55] 📡 OP/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 1m | Vol: 1291
[13:36:56] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 6m | Vol: 162
